"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Upper middle income","UMC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12452828960709.1","12523899627594.1","12528874710229.9","12853266072828.8","13106984077536.8","13541938297079.9","14178396678737.9","14905206506577.9","15266816233875.5","15793035387186.5","16776871114213.5","17374810396001.3","18182765659302","19215182645533.1","20783299962656.7","22340569184323.5","24265482210125.7","26545453133237","28151836899769.9","28688350793934.4","30891577995113.2","32798489627958","34418972090113.3","36087513286571.1","37619539499901.8","39008039955645.4","",
"World","WLD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47074556600273","47667094330824.8","48495450122913.7","49419421802707.9","50890339258194.9","52578475057618.8","54609100396966.6","56776166313153","58163530116722.2","60251576614861.8","63105258103602.6","64638706918927.3","66420563116317.7","68894474920968.2","72617832573485.4","76088460667724.3","80201555728534.3","84575271850247.9","87019495824540.5","86750046230300.3","91328631757613.2","94982145350925.4","98021089709179.3","101258843098963","104715659573726","108178898074839","",
"Afghanistan","AFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23378628008.9566","25352757518.2174","25620370017.4831","28483515603.8497","30065529260.2352","34196594611.8752","35431559620.9183","42879503310.6483","46495656381.9102","49338254430.557","56460103813.5996","57566226632.6841","58321801149.6039","58812123337.7274","",
"Albania","ALB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14978112696.9496","10546239278.2763","9786910051.66323","10726453417.7904","11616749051.1158","13161776673.3272","14359498350.6","12803236635.1813","13956661343.9337","15840974389.425","16897032037.7935","18238712381.9377","19010459970.624","20108027084.2809","21256106268.0238","22472129836.5441","23692594069.5631","25090457121.7218","26979768540.3481","27883590788.8437","28918072005.3812","29655482843.0915","30076590698.9138","30410440853.4357","30957828788.2172","31824647994.4531","",
"Algeria","DZA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265252807168.656","262069771933.096","266787033858.556","261184504117.302","258833852601.641","268669525510.156","279684971945.928","282761506464.142","297182353497.983","306692193424.73","318406849179.433","327985786401.807","346383569171.663","371329671295.825","387302878537.758","410183924183.221","417093424469.858","431161464955.46","441337456994.146","448541160440.946","464841798178.117","478284400071.981","494425392067.335","508109301381.061","527362178700.557","547209280037.938","",
"American Samoa","ASM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53485330048.9459","52843506093.9848","49197304172.5742","37045570048.7365","38342164996.4825","42329750163.2751","47070682167.4097","50789266063.2324","54245354799.5022","56002795625.6121","57689642487.7707","60124702190.7584","55951770351.3937","58887836445.9306","65294584235.9224","77218322300.7962","93229637862.261","114293060567.375","130085099395.258","133223883333.083","137763693380.123","143162097316.44","150542734126.265","160800092436.219","168525688985.459","173593223666.649","",
"Antigua and Barbuda","ATG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061918329.98783","1083543618.14792","1092734103.99863","1151633582.28571","1224504603.0546","1173359266.09462","1252438531.41179","1313630693.13452","1371531251.06693","1428060345.57257","1500059853.6245","1452144313.3616","1494608664.21308","1582994311.85634","1666678042.1096","1768065874.63781","2004569441.56413","2194982379.88446","2196543254.2552","1932166977.42596","1794152457.65239","1761975488.69485","1829590748.19478","1825929871.54892","1909973652.64697","1988798233.49736","",
"Argentina","ARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353995533055.852","398845740831.231","446471012272.975","472843695522.174","500439802607.57","486201241248.658","513072075788.236","554687591823.056","576044056175.667","556542332118.722","552151219022.903","527807756970.741","470305820963.441","511866938226.858","558086338623.306","607486243374.952","656371581743.213","715495242296.696","744524552113.103","700459679766.917","771384011298.036","817697534675.125","809304519853.15","828770913979.822","807947088975.413","829335641342.87","",
"Armenia","ARM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13241360919.5518","11692121893.0009","6804814620.36135","6205991015.94511","6541114703.9618","6992451514.34829","7402586817.78883","7648432625.56006","8206768207.22595","8477591558.06441","8977769459.99019","9835742701.57703","11132713293.7678","12695834751.5139","14024814656.6168","15969454960.225","18077104187.2779","20562561750.2571","21981378511.3708","18871015949.0773","19286178299.7958","20192628679.6198","21646497945.2151","22360832377.7968","23165822343.3975","23860797013.6994","",
"Aruba","ABW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3671232222.36581","","","","","",
